record_id,parent_department,organisation,unit,reporting_senior_post,grade,payscale_minimum,payscale_maximum,generic_job_title,fte_posts,professional/occupational_group,office_region
668,Department for Education,Department for Education,"Products, Quality and Market",DFE-2127,Grade 7 - National,58185,67219,"Manager - Products, Quality and Market Grade 7-West Midlands",3.0,Other,West Midlands
669,Department for Education,Department for Education,Higher Education Oversight,DFE-2660,HEO - National,36000,38229,Higher Executive Officer - Lifelong Loan Entitlement HEO-North East,1.0,Other,North East
670,Department for Education,Department for Education,Work Based Skills Operations and Performance,DFE-2423,Grade 7 - London,62336,72057,Manager - Work Based Skills Operations and Performance Grade 7-London,2.86,Other,London
671,Department for Education,Department for Education,Funding Policy Implementation,DFE-2609,Grade 7 - National,58185,67219,Manager - Funding Policy Implementation Grade 7-West Midlands,7.09,Other,West Midlands
672,Department for Education,Department for Education,Operational Excellence,DFE-2292,HEO - National,36000,38229,Higher Executive Officer - Operational Excellence HEO-West Midlands,13.58,Other,West Midlands
673,Department for Education,Department for Education,Independent Market Oversight,DFE-2507,HEO - National,36000,38229,Higher Executive Officer - Independent Market Oversight HEO-Yorkshire and The Humber,3.0,Other,Yorkshire and The Humber
674,Department for Education,Department for Education,Regions Group: West Midlands,DFE-2406,Grade 7 - National,58185,67219,Manager - Regions Group: West Midlands Grade 7-Unknown,1.0,Other,Unknown
675,Department for Education,Department for Education,Data Science (ESFA),DFE-2601,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Data Science (ESFA) SEO-West Midlands,15.81,Other,West Midlands
676,Department for Education,Department for Education,T - Level Delivery ​,DFE-2626,Senior Executive Officer - National,42806,47047,Senior Executive Officer - T - Level Delivery ​ SEO-North East,1.81,Other,North East
677,Department for Education,Skills England,Analysis and Insights,DFE-2434,Grade 7 - National,58185,67219,Manager - Analysis and Insight Grade 7-Unknown,1.0,Other,Unknown
678,Department for Education,Department for Education,Technology Operations,DFE-2461,HEO - National,36000,38229,Higher Executive Officer - Technology Operations HEO-West Midlands,9.0,Other,West Midlands
679,Department for Education,Department for Education,Sector Reporting,DFE-2185,SEO (Accountant) - National,49615,54551,Senior Executive Officer - Sector Reporting SEO-West Midlands,3.0,Other,West Midlands
680,Department for Education,Department for Education,Assurance,DFE-2192,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Assurance SEO-North East,3.51,Other,North East
681,Department for Education,Department for Education,Funding Policy Unit,DFE-2009,Grade 7 - National,58185,67219,Manager - Funding Policy Unit Grade 7 (Position Vacate:31/10/2025)-West Midlands,1.0,Other,West Midlands
682,Department for Education,Department for Education,Work Based Skills Operational Delivery,DFE-2619,Grade 7 - National,58185,67219,Manager - Work Based Skills Operational Delivery Grade 7-North East,2.0,Other,North East
683,Department for Education,Department for Education,London & South East Place Based Team,DFE-2489,Grade 7 - National,58185,67219,Manager - London & South East Place Based Team Grade 7-Unknown,10.0,Other,Unknown
684,Department for Education,Department for Education,T - Level Policy,DFE-2542,Senior Executive Officer - National,42806,47047,Senior Executive Officer - T - Level Policy​ SEO-West Midlands,0.8,Other,West Midlands
685,Department for Education,Department for Education,Central & South West Place Based Team,DFE-2508,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Central & South West Place Based Team SEO-Unknown,1.91,Other,Unknown
686,Department for Education,Department for Education,Assurance,DFE-2192,HEO - National,36000,38229,Higher Executive Officer - Assurance HEO-Unknown,1.0,Other,Unknown
687,Department for Education,Department for Education,Advanced Analytics Division,DFE-2557,Grade 7 - National,58185,67219,Manager - Advanced Analytics Grade 7-Yorkshire and The Humber,2.0,Other,Yorkshire and The Humber
688,Department for Education,Department for Education,Insight and Statistics,DFE-2400,Grade 7 - National,58185,67219,Manager - Insight and Statistics Grade 7-West Midlands,2.0,Other,West Midlands
689,Department for Education,Skills England,Regions,DFE-2197,Grade 7 - National,58185,67219,Manager - Regions Grade 7-West Midlands,1.86,Other,West Midlands
690,Department for Education,Department for Education,Digital Delivery - Funding Services,DFE-2610,Grade 7 - National,58185,67219,Manager - Digital Delivery - Funding Services Grade 7-West Midlands,4.0,Other,West Midlands
691,Department for Education,Department for Education,Work Based Skills Operational Delivery,DFE-2619,Grade 6 - National,70854,78241,Manager - Work Based Skills Operational Delivery Grade 6-Unknown,0.64,Other,Unknown
692,Department for Education,Department for Education,Financial Operations,DFE-2200,Grade 7 - National,58185,67219,Manager - Financial Operations Grade 7-West Midlands,5.82,Other,West Midlands
693,Department for Education,Department for Education,"FE Support, Improvement and Provider Engagement",DFE-2394,Grade 7 - National,58185,67219,"Manager - FE Support, Improvement and Provider Engagement Grade 7-West Midlands",4.0,Other,West Midlands
694,Department for Education,Skills England,Reform and Development,DFE-2689,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Development and Innovation SEO-North East,6.0,Other,North East
695,Department for Education,Department for Education,Independent Market Oversight,DFE-2507,Grade 7 - London,62336,72057,Manager - Independent Market Oversight Grade 7-London,2.0,Other,London
696,Department for Education,Department for Education,The Apprenticeships Service (DDAT)​,DFE-2486,Grade 6 - National,70854,78241,Manager - The Apprenticeships Service (DDAT)​ Grade 6-West Midlands,5.0,Other,West Midlands
697,Department for Education,Department for Education,Operational Excellence,DFE-2292,HEO - London,40132,42699,Higher Executive Officer - Operational Excellence HEO-London,4.0,Other,London
698,Department for Education,Department for Education,Assurance,DFE-2192,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Assurance SEO-South West,4.47,Other,South West
699,Department for Education,Department for Education,The Apprenticeships Service (DDAT)​,DFE-2486,HEO - National,36000,38229,Higher Executive Officer - The Apprenticeships Service (DDAT)​ HEO-West Midlands,8.6,Other,West Midlands
700,Department for Education,Department for Education,Specialist Restructuring,DFE-2173,Senior Executive Officer - London,46971,51973,Senior Executive Officer - Specialist Restructuring SEO-London,2.0,Other,London
701,Department for Education,Department for Education,T - Level Delivery ​,DFE-2626,Grade 7 - National,58185,67219,Manager - Technical Education Reform Operations Grade 7-West Midlands,1.0,Other,West Midlands
702,Department for Education,Department for Education,FE Provider Infrastructure,DFE-2387,Grade 7 - National,58185,67219,Manager - FE Provider Infrastructure Grade 7-Yorkshire and The Humber,5.0,Other,Yorkshire and The Humber
703,Department for Education,Department for Education,North Place Based Team & ESF,DFE-2332,Grade 6 - National,70854,78241,Manager - North Place Based Team & ESF Grade 6-Unknown,5.0,Other,Unknown
704,Department for Education,Department for Education,Operational Excellence,DFE-2292,Grade 7 - National,58185,67219,Manager - Operational Excellence Grade 7 (Close:04/10/2025)-West Midlands,0.9,Other,West Midlands
705,Department for Education,Department for Education,Sustainability and Strategic Projects,DFE-2311,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Sustainability and Strategic Projects SEO-West Midlands,3.0,Other,West Midlands
706,Department for Education,Department for Education,The Apprenticeships Service (DDAT)​,DFE-2486,Grade 7 - National,58185,67219,Manager - Digital Outcome Portfolio NCS Grade 7-West Midlands,4.0,Other,West Midlands
707,Department for Education,Department for Education,Assurance,DFE-2192,Grade 6 - National,70854,78241,Manager - Assurance Grade 6-Yorkshire and The Humber,3.0,Other,Yorkshire and The Humber
708,Department for Education,Department for Education,Skills Strategy and Engagement,DFE-2596,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Sector Skills SEO-Unknown,2.91,Other,Unknown
709,Department for Education,Department for Education,Technology Directorate,DFE-2553,HEO - National,36000,38229,Higher Executive Officer - Digital Delivery - Vulnerable Families & Children HEO-West Midlands,3.9,Other,West Midlands
710,Department for Education,Department for Education,"FE Support, Improvement and Provider Engagement",DFE-2394,Senior Executive Officer - National,42806,47047,"Senior Executive Officer - FE Support, Improvement and Provider Engagement SEO-East Midlands",2.0,Other,East Midlands
711,Department for Education,Department for Education,Operations and Infrastructure Group,DFE-2536,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Commercial Specialist - Skills SEO-North East,3.64,Other,North East
712,Department for Education,Skills England,Delivery and Reform,DFE-2693,HEO - London,40132,42699,Higher Executive Officer - Development and Innovation HEO-London,2.0,Other,London
713,Department for Education,Department for Education,Work Based Skills Operational Delivery,DFE-2619,Grade 7 - National,58185,67219,Manager - Work Based Skills Operational Delivery Grade 7-North West,5.0,Other,North West
714,Department for Education,Department for Education,School Strategy and System,DFE-2639,EO - National,31479,31479,"Executive Officer - Admissions, School Organisation, Transport EO-North East",4.95,Other,North East
715,Department for Education,Department for Education,"Financial Business Partnering: Skills, OIG and Strategy",DFE-2652,Grade 6 - National,70854,78241,Manager - ESFA Finance Grade 6-West Midlands,1.0,Other,West Midlands
716,Department for Education,Department for Education,Further Education Workforce,DFE-2218,Senior Executive Officer - National,42806,47047,Senior Executive Officer - FE Workforce SEO-Unknown,1.0,Other,Unknown
717,Department for Education,Department for Education,"Growth and Skills Levy, Strategy and Engagement",DFE-2642,Grade 7 - London,62336,72057,"Manager - Growth and Skills Levy, Strategy and Engagement Grade 7-London",3.0,Other,London
718,Department for Education,Department for Education,Operational Excellence,DFE-2292,Grade 7 - National,58185,67219,Manager - Operational Excellence Grade 7-South West,1.0,Other,South West
719,Department for Education,Department for Education,Central & South West Place Based Team,DFE-2508,HEO - National,36000,38229,Higher Executive Officer - Central & South West Place Based Team HEO-West Midlands,0.97,Other,West Midlands
720,Department for Education,Skills England,"Clean Energy, Life Sciences",DFE-2686,Grade 7 - National,58185,67219,"Manager - Clean Energy, Life Sciences Grade 7-West Midlands",6.8,Other,West Midlands
721,Department for Education,Department for Education,Technology Operations,DFE-2461,Grade 6 - National,70854,78241,Manager - Technology Operations Grade 6-West Midlands,1.0,Other,West Midlands
722,Department for Education,Department for Education,"CSC Social Worker Training, Development and Leadership",DFE-2558,HEO - National,36000,38229,"Higher Executive Officer - CSC Social Worker Training, Development and Leadership HEO-West Midlands",1.0,Other,West Midlands
723,Department for Education,Department for Education,Work Based Skills Operations and Performance,DFE-2423,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Work Based Skills Operations and Performance SEO-West Midlands,2.64,Other,West Midlands
724,Department for Education,Department for Education,"Growth and Skills Levy, Strategy and Engagement",DFE-2642,HEO - National,36000,38229,"Higher Executive Officer - Growth and Skills Levy, Strategy and Engagement HEO-West Midlands",2.0,Other,West Midlands
725,Department for Education,Department for Education,The Apprenticeships Service (DDAT)​,DFE-2486,Grade 6 - National,70854,78241,Manager - The Apprenticeships Service (DDAT)​ Grade 6-Yorkshire and The Humber,0.67,Other,Yorkshire and The Humber
726,Department for Education,Department for Education,Advanced Analytics Division,DFE-2557,Grade 7 - National,58185,67219,Manager - Advanced Analytics Grade 7-West Midlands,2.0,Other,West Midlands
727,Department for Education,Department for Education,Stakeholder Engagement,DFE-2349,Grade 6 - National,70854,78241,Manager - Stakeholder Engagement Grade 6-Unknown,1.0,Other,Unknown
728,Department for Education,Department for Education,"Growth and Skills Levy, Strategy and Engagement",DFE-2642,Senior Executive Officer - National,42806,47047,"Senior Executive Officer - Growth and Skills Levy, Strategy and Engagement SEO-Unknown",1.39,Other,Unknown
729,Department for Education,Department for Education,Central Capital Unit,DFE-2228,HEO - National,36000,38229,Higher Executive Officer - Central Capital Unit HEO-Yorkshire and The Humber,3.61,Other,Yorkshire and The Humber
730,Department for Education,Department for Education,The Apprenticeships Service (DDAT)​,DFE-2486,HEO - National,36000,38229,Higher Executive Officer - The Apprenticeships Service (DDAT)​ HEO-North West,1.0,Other,North West
731,Department for Education,Department for Education,Counter Extremism and Non-School Education,DFE-2398,EO - National,31479,31479,Executive Officer - Counter Extremism and Non-School Education EO-West Midlands,2.0,Other,West Midlands
732,Department for Education,Department for Education,Enterprise Data for Insight,DFE-2392,Grade 7 - National,58185,67219,Manager - Enterprise Data for Insight Grade 7-West Midlands,8.0,Other,West Midlands
733,Department for Education,Department for Education,Customer Success & Shared Service Operations,DFE-2334,HEO - National,36000,38229,Higher Executive Officer - Customer Success & Shared Service Operations HEO-South West,0.62,Other,South West
734,Department for Education,Department for Education,Careers,DFE-2653,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Careers SEO-North West,4.0,Other,North West
735,Department for Education,Skills England,Regions,DFE-2197,Grade 7 - London,62336,72057,Manager - Regions Grade 7-Unknown,2.0,Other,Unknown
736,Department for Education,Department for Education,Operations and Infrastructure Group,DFE-2536,HEO - National,36000,38229,Higher Executive Officer - Commercial Specialist - Skills HEO-North East,2.0,Other,North East
737,Department for Education,Skills England,Regions,DFE-2197,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Regions SEO-West Midlands,1.0,Other,West Midlands
738,Department for Education,Department for Education,Independent Market Oversight,DFE-2507,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Independent Market Oversight SEO-North West,2.0,Other,North West
739,Department for Education,Department for Education,London & South East Place Based Team,DFE-2489,Senior Executive Officer - London,46971,51973,Senior Executive Officer - London & South East Place Based Team SEO-London,2.0,Other,London
740,Department for Education,Department for Education,"Growth and Skills Levy, Strategy and Engagement",DFE-2642,Grade 7 - National,58185,67219,"Manager - Growth and Skills Levy, Strategy and Engagement Grade 7-Unknown",1.0,Other,Unknown
741,Department for Education,Department for Education,Digital Delivery - Funding Services,DFE-2610,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Digital Delivery - Funding Services SEO-West Midlands,2.0,Other,West Midlands
742,Department for Education,Department for Education,Customer Success & Shared Service Operations,DFE-2334,Grade 7 - National,58185,67219,Manager - Customer Success & Shared Service Operations Grade 7-East Midlands,1.0,Other,East Midlands
743,Department for Education,Standard and Testing Agency,STA Assessment DDaT,DFE-2607,SEO (Senior Prof & Technical Officer) - National,48999,53884,Senior Executive Officer - STA Assessment DDaT SEO-North West,2.0,Other,North West
744,Department for Education,Department for Education,Customer Experience & Design,DFE-2478,Grade 7 - National,58185,67219,Manager - Customer Experience & Design Grade 7-West Midlands,4.0,Other,West Midlands
745,Department for Education,Department for Education,Work Based Skills Operational Delivery,DFE-2619,SEO (Information Officer) - National,48999,53884,Senior Executive Officer - Work Based Skills Operational Delivery SEO-North East,8.53,Other,North East
746,Department for Education,Department for Education,Counter Fraud  and Prevention,DFE-2290,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Counter Fraud and Prevention SEO-West Midlands,4.0,Other,West Midlands
747,Department for Education,Department for Education,"Education Estates Design, Engineering, Cost and Building Technology",DFE-2208,Grade 7 - National,58185,67219,"Manager - Education Estates Design, Engineering, Cost and Building Technology Grade 7-West Midlands",1.0,Other,West Midlands
748,Department for Education,Department for Education,"Financial Business Partnering: Skills, OIG and Strategy",DFE-2652,Grade 6 - National,70854,78241,"Manager - Financial Business Partnering: Skills, OIG and Strategy Grade 6-West Midlands",1.0,Other,West Midlands
749,Department for Education,Department for Education,Operational Excellence,DFE-2292,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Operational Excellence SEO-West Midlands,4.5,Other,West Midlands
750,Department for Education,Department for Education,DDT Incubator,DFE-2475,Grade 7 - National,58185,67219,Manager - DDT Incubator Grade 7-East Midlands,1.0,Other,East Midlands
751,Department for Education,Skills England,Regions,DFE-2197,HEO - National,36000,38229,Higher Executive Officer - Regions HEO-Unknown,1.0,Other,Unknown
752,Department for Education,Department for Education,The Apprenticeships Service (DDAT)​,DFE-2486,EO - National,31479,31479,Executive Officer - The Apprenticeships Service (DDAT)​ EO-West Midlands,3.0,Other,West Midlands
753,Department for Education,Department for Education,Assurance,DFE-2192,Grade 7 - National,58185,67219,Manager - Assurance Grade 7-West Midlands,1.0,Other,West Midlands
754,Department for Education,Department for Education,Assurance,DFE-2192,HEO - National,36000,38229,Higher Executive Officer - Assurance HEO-South West,2.81,Other,South West
755,Department for Education,Department for Education,DDT Incubator,DFE-2475,Grade 7 - National,58185,67219,Manager - DDT Incubator Grade 7-West Midlands,5.0,Other,West Midlands
756,Department for Education,Department for Education,Operational Excellence,DFE-2292,Grade 7 - National,58185,67219,Manager - Operational Excellence Grade 7-West Midlands,6.61,Other,West Midlands
757,Department for Education,Department for Education,Further Education Funding,DFE-2100,Senior Executive Officer - National,42806,47047,Senior Executive Officer - FE System and Oversight SEO-North West,1.0,Other,North West
758,Department for Education,Department for Education,Enterprise Data for Access and Sharing,DFE-2658,Senior Executive Officer - London,46971,51973,Senior Executive Officer - Enterprise Data for Access and Sharing SEO-London,1.6,Other,London
759,Department for Education,Department for Education,"Capability, Investments, Analysis and Reporting",DFE-2162,Senior Executive Officer - National,42806,47047,"Senior Executive Officer - Capability, Investments, Analysis and Reporting SEO-West Midlands",1.87,Other,West Midlands
760,Department for Education,Department for Education,Specialist Restructuring,DFE-2173,SEO (Accountant) - National,49615,54551,Senior Executive Officer - Specialist Restructuring SEO-North West,4.8,Other,North West
761,Department for Education,Department for Education,T - Level Policy,DFE-2542,Grade 7 - National,58185,67219,Manager - T - Level Policy​ Grade 7-West Midlands,1.0,Other,West Midlands
762,Department for Education,Department for Education,"Capability, Investments, Analysis and Reporting",DFE-2162,HEO - National,36000,38229,Higher Executive Officer - ESFA Finance HEO-West Midlands,1.0,Other,West Midlands
763,Department for Education,Department for Education,Customer Success & Shared Service Operations,DFE-2334,HEO - National,36000,38229,Higher Executive Officer - Customer Success & Shared Service Operations HEO-Yorkshire and The Humber,1.0,Other,Yorkshire and The Humber
764,Department for Education,Department for Education,Customer Experience & Design,DFE-2478,Grade 6 - National,70854,78241,Manager - Customer Experience & Design Grade 6-West Midlands,4.0,Other,West Midlands
765,Department for Education,Skills England,Regions,DFE-2197,HEO - National,36000,38229,Higher Executive Officer - Regions HEO-West Midlands,2.81,Other,West Midlands
766,Department for Education,Skills England,Delivery and Reform,DFE-2693,Grade 7 - National,58185,67219,Manager - Delivery and Reform Grade 7-West Midlands,4.43,Other,West Midlands
767,Department for Education,Department for Education,Careers,DFE-2653,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Careers SEO-Yorkshire and The Humber,4.69,Other,Yorkshire and The Humber
768,Department for Education,Department for Education,CS Policy Profession Unit,DFE-2498,EO - National,31479,31479,Executive Officer - Learning Officer – Accredited Learning-Yorkshire and The Humber,0.6,Other,Yorkshire and The Humber
769,Department for Education,Department for Education,"English, Maths, Music & Arts",DFE-2418,Senior Executive Officer - London,46971,51973,"Senior Executive Officer - English, Maths, Music & Arts SEO-Unknown",1.0,Other,Unknown
770,Department for Education,Department for Education,"Estates, Security and People",DFE-2025,EO - National,31479,31479,Executive Officer - Estates & Security Finance Support Officer-West Midlands,0.81,Other,West Midlands
771,Department for Education,Department for Education,T - Level Delivery ​,DFE-2626,EO - National,31479,31479,Executive Officer - T - Level Delivery ​ EO-West Midlands,0.81,Other,West Midlands
772,Department for Education,Department for Education,The Apprenticeships Service (DDAT)​,DFE-2486,Grade 7 - National,58185,67219,Manager - Digital Outcome Portfolio NCS Grade 7-East Of England,1.0,Other,East Of England
773,Department for Education,Department for Education,Customer Success & Shared Service Operations,DFE-2334,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Customer Success & Shared Service Operations SEO-West Midlands,5.0,Other,West Midlands
774,Department for Education,Department for Education,International Placements,DFE-2491,HEO - National,36000,38229,Higher Executive Officer - International Placements HEO-Yorkshire and The Humber,1.81,Other,Yorkshire and The Humber
775,Department for Education,Department for Education,"Construction Grants, Assurance and Response",DFE-2344,Grade 7 - National,58185,67219,"Manager - Construction Grants, Assurance and Response Grade 7-West Midlands",2.56,Other,West Midlands
776,Department for Education,Department for Education,Technical Education & Qualification Reforms,DFE-2093,Grade 7 - National,58185,67219,Manager - Technical Education & Qualification Reform​s Grade 7-West Midlands,4.0,Other,West Midlands
777,Department for Education,Department for Education,Assurance,DFE-2192,Senior Executive Officer - London,46971,51973,Senior Executive Officer - Assurance SEO-London,3.0,Other,London
778,Department for Education,Department for Education,Enterprise Data for Access and Sharing,DFE-2658,Grade 7 - National,58185,67219,Manager - Enterprise Data for Access and Sharing 7-South West,3.0,Other,South West
779,Department for Education,Department for Education,High Quality Curriculum,DFE-2324,HEO - London,40132,42699,Higher Executive Officer - High Quality Curriculum HEO-London,2.88,Other,London
780,Department for Education,Department for Education,Rapid Response Co-ordination,DFE-2382,Grade 6 - National,70854,78241,Manager - Rapid Response Co-ordination Grade 6-West Midlands,2.0,Other,West Midlands
781,Department for Education,Department for Education,Work Based Skills Operational Delivery,DFE-2619,EA - National,27244,27244,Executive Assistant - Work Based Skills Operational Delivery EA-North East,0.67,Other,North East
782,Department for Education,Department for Education,Careers,DFE-2653,Grade 7 - London,62336,72057,Manager - Careers Grade 7-London,1.8,Other,London
783,Department for Education,Department for Education,Independent Market Oversight,DFE-2507,EO - National,31479,31479,Executive Officer - Independent Market Oversight EO-East Midlands,0.81,Other,East Midlands
784,Department for Education,Department for Education,Infrastructure & Platforms,DFE-2281,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Infrastructure & Platforms SEO-West Midlands,5.0,Other,West Midlands
785,Department for Education,Department for Education,"Growth and Skills Levy, Strategy and Engagement",DFE-2642,Senior Executive Officer - National,42806,47047,"Senior Executive Officer - Growth and Skills Levy, Strategy and Engagement SEO-North West",1.0,Other,North West
786,Department for Education,Department for Education,Insight and Statistics,DFE-2400,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Insight and Statistics SEO-West Midlands,3.8,Other,West Midlands
787,Department for Education,Skills England,Reform and Development,DFE-2689,Grade 6 - National,70854,78241,Manager - Development and Innovation Grade 6-West Midlands,2.0,Other,West Midlands
788,Department for Education,Skills England,Regions,DFE-2197,Grade 7 - National,58185,67219,Manager - Regions Grade 7-North West,1.0,Other,North West
789,Department for Education,Department for Education,Technology Directorate,DFE-2553,Grade 7 - National,58185,67219,Manager - Technology Directorate Private Office - Grade 7-Yorkshire and The Humber,1.0,Other,Yorkshire and The Humber
790,Department for Education,Department for Education,Independent Market Oversight,DFE-2507,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Independent Market Oversight SEO-Yorkshire and The Humber,1.0,Other,Yorkshire and The Humber
791,Department for Education,Skills England,Regions,DFE-2197,Grade 6 - National,70854,78241,Manager - Regions Grade 6-West Midlands,1.0,Other,West Midlands
792,Department for Education,Department for Education,Independent Market Oversight,DFE-2507,HEO - National,36000,38229,Higher Executive Officer - North Place Based Team & ESF HEO-South West,1.0,Other,South West
793,Department for Education,Department for Education,Work Based Skills Operational Delivery,DFE-2619,Grade 6 - National,70854,78241,Manager - Work Based Skills Operational Delivery Grade 6-North West,0.52,Other,North West
794,Department for Education,Department for Education,Technical Education & Qualification Reforms,DFE-2093,HEO - National,36000,38229,Higher Executive Officer - Technical Education & Qualification Reform​s HEO-West Midlands,0.52,Other,West Midlands
795,Department for Education,Department for Education,Families Group Central,DFE-2551,Grade 7 - National,58185,67219,Manager - Families Group Central Grade 6-North West,2.0,Other,North West
796,Department for Education,Department for Education,Financial Operations,DFE-2200,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Financial Operations SEO-West Midlands,13.29,Other,West Midlands
797,Department for Education,Department for Education,Digital Delivery - Vulnerable Families & Children,DFE-2503,Grade 6 - National,70854,78241,Manager - Digital Delivery - Vulnerable Families & Children Grade 6-North East,1.0,Other,North East
798,Department for Education,Department for Education,Central Strategic Finance,DFE-2604,HEO - National,36000,38229,Higher Executive Officer - Central Strategic Finance HEO-North West,2.0,Other,North West
799,Department for Education,Department for Education,Central & South West Place Based Team,DFE-2508,Grade 6 - National,70854,78241,Manager - Central & South West Place Based Team Grade 6-Unknown,4.0,Other,Unknown
800,Department for Education,Department for Education,"Payroll, Reward, Policies and ER",DFE-2527,Senior Executive Officer - London,46971,51973,"Senior Executive Officer - Payroll, Reward, Policies and ER SEO-London",2.0,Other,London
801,Department for Education,Skills England,Regions,DFE-2197,Senior Executive Officer - London,46971,51973,Senior Executive Officer - Regions SEO-East Midlands,1.0,Other,East Midlands
802,Department for Education,Department for Education,Specialist Restructuring,DFE-2173,SEO (Accountant) - National,49615,54551,Senior Executive Officer - Specialist Restructuring SEO-West Midlands,2.86,Other,West Midlands
803,Department for Education,Department for Education,Assurance,DFE-2192,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Assurance SEO-Unknown,1.0,Other,Unknown
804,Department for Education,Skills England,Regions,DFE-2197,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Regions SEO-Unknown,2.81,Other,Unknown
805,Department for Education,Department for Education,London & South East Place Based Team,DFE-2489,Grade 6 - National,70854,78241,Manager - London & South East Place Based Team Grade 6-Unknown,3.0,Other,Unknown
806,Department for Education,Department for Education,Work Based Skills Operational Delivery,DFE-2619,Grade 7 - London,62336,72057,Manager - Work Based Skills Operational Delivery Grade 7-London,2.0,Other,London
807,Department for Education,Department for Education,Technology Operations,DFE-2461,Grade 7 - National,58185,67219,Manager - Data Protection Office Grade 7-Yorkshire and The Humber,4.0,Other,Yorkshire and The Humber
808,Department for Education,Department for Education,Technology Directorate,DFE-2553,Grade 7 - National,58185,67219,Manager - DDT Central Operations Grade 7-West Midlands,0.56,Other,West Midlands
809,Department for Education,Skills England,Regions,DFE-2197,Grade 7 - National,58185,67219,Manager - Regions Grade 7-Yorkshire and The Humber,1.0,Other,Yorkshire and The Humber
810,Department for Education,Department for Education,Assurance,DFE-2192,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Assurance SEO-West Midlands,3.5,Other,West Midlands
811,Department for Education,Department for Education,Assurance,DFE-2192,HEO - London,40132,42699,Higher Executive Officer - Assurance HEO-London,1.0,Other,London
812,Department for Education,Department for Education,Operations and Infrastructure Group,DFE-2536,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Commercial Specialist - Operations & Infrastructure SEO-North East,4.0,Other,North East
813,Department for Education,Department for Education,Digital Delivery - Schools,DFE-2664,Senior Executive Officer - National,42806,47047,Senior Executive Officer - Digital Delivery - Schools SEO-West Midlands,2.0,Other,West Midlands
814,Department for Education,Department for Education,Digital Delivery - Funding Services,DFE-2610,EO - National,31479,31479,Executive Officer - Digital Delivery - Funding Services EO-West Midlands,1.0,Other,West Midlands
815,Department for Education,Department for Education,Independent Market Oversight,DFE-2507,Grade 6 - London,74528,82869,Manager - Independent Market Oversight Grade 6-London,1.0,Other,London
816,Department for Education,Department for Education,"Estates, Security and People",DFE-2025,HEO - National,36000,38229,"Higher Executive Officer - Estates, Security and People HEO-West Midlands",0.6,Other,West Midlands
817,Department for Education,Department for Education,Operational Excellence,DFE-2292,Grade 6 - National,70854,78241,Manager - Operational Excellence Grade 6-West Midlands,1.0,Other,West Midlands
818,Department for Education,Department for Education,T - Level Delivery ​,DFE-2626,Grade 7 - National,58185,67219,Manager - T - Level Delivery ​ Grade 7-Unknown,2.0,Other,Unknown
819,Department for Education,Department for Education,Careers,DFE-2653,Grade 6 - National,70854,78241,Manager - Careers Grade 6-West Midlands,1.6,Other,West Midlands
820,Department for Education,Department for Education,Independent Market Oversight,DFE-2507,HEO - National,36000,38229,Higher Executive Officer - Independent Market Oversight HEO-West Midlands,1.0,Other,West Midlands
821,Department for Education,Department for Education,Cyber and Information Security (CISO),DFE-2485,Grade 6 - National,70854,78241,Manager - Cyber and Information Security (CISO) Grade 6-West Midlands,1.0,Other,West Midlands
822,Department for Education,Department for Education,"HR Organisation Design, Development & Engagement",DFE-2407,EO - National,31479,31479,"Executive Officer - HR Business Partners, Workforce Skills and Strategy EO-North East",0.64,Other,North East
823,Department for Education,Department for Education,Customer Experience & Design,DFE-2478,Grade 7 - London,62336,72057,Manager - Customer Experience & Design Grade 7-London,2.0,Other,London
824,Department for Education,Department for Education,Independent Market Oversight,DFE-2507,Senior Executive Officer - London,46971,51973,Senior Executive Officer - North Place Based Team & ESF SEO-London,1.0,Other,London
825,Department for Education,Department for Education,Technical Education & Qualification Reforms,DFE-2093,HEO - National,36000,38229,Higher Executive Officer - Technical Education & Qualification Reform​s HEO-Yorkshire and The Humber,1.0,Other,Yorkshire and The Humber
